n,Egb,dx,dy,rx,ry,T,steps,f
0.82,0.964,0.62,0.64,2,7,1100,31000,lammps_0.964_0.82_0.62_0.64_2_7_1100_31000
0.43,0.964,6.21,2.63,1,15,600,142000,lammps_0.964_0.43_6.21_2.63_1_15_600_142000
0.4,0.964,4.12,3.28,1,10,1200,23000,lammps_0.964_0.40_4.12_3.28_1_10_1200_23000
0.38,0.964,1.17,1.37,1,13,900,0,lammps_0.964_0.38_1.17_1.37_1_13_900_0
0.37,0.964,1.77,3.43,2,13,600,16000,lammps_0.964_0.37_1.77_3.43_2_13_600_16000
0.35,0.964,7.62,2.28,2,15,600,219000,lammps_0.964_0.35_7.62_2.28_2_15_600_219000
0.06,0.964,0.81,1.29,3,3,300,57000,lammps_0.964_0.06_0.81_1.29_3_3_300_57000
0.05,0.964,0.21,2.33,4,7,500,9000,lammps_0.964_0.05_0.21_2.33_4_7_500_9000
0.0,0.964,1.31,3.18,3,7,500,15000,lammps_0.964_0.00_1.31_3.18_3_7_500_15000
0.44,0.964,0.52,1.49,1,8,300,10000,lammps_0.964_0.44_0.52_1.49_1_8_300_10000
0.8,0.965,0.91,1.07,3,5,700,12000,lammps_0.965_0.80_0.91_1.07_3_5_700_12000
0.97,0.965,6.95,1.38,4,4,700,3000,lammps_0.965_0.97_6.95_1.38_4_4_700_3000
0.95,0.965,0.52,1.42,2,5,400,2000,lammps_0.965_0.95_0.52_1.42_2_5_400_2000
0.94,0.965,2.22,1.66,4,2,500,24000,lammps_0.965_0.94_2.22_1.66_4_2_500_24000
0.88,0.965,3.64,2.03,4,7,800,64000,lammps_0.965_0.88_3.64_2.03_4_7_800_64000
0.83,0.965,1.84,1.34,3,7,900,124000,lammps_0.965_0.83_1.84_1.34_3_7_900_124000
0.55,0.965,0.78,1.36,1,10,900,2000,lammps_0.965_0.55_0.78_1.36_1_10_900_2000
0.36,0.965,6.53,2.32,2,11,600,129000,lammps_0.965_0.36_6.53_2.32_2_11_600_129000
0.5,0.965,0.95,0.24,1,7,500,12000,lammps_0.965_0.50_0.95_0.24_1_7_500_12000
0.44,0.965,7.89,0.45,2,8,600,116000,lammps_0.965_0.44_7.89_0.45_2_8_600_116000
0.38,0.965,3.72,1.17,1,13,600,8000,lammps_0.965_0.38_3.72_1.17_1_13_600_8000
