n,Egb
0.22,2.557
0.24,2.557
0.25,2.557
0.27,2.557
0.3,2.557
0.19,2.557
0.4,2.558
0.42,2.558
0.44,2.558
0.51,2.558
0.53,2.558
0.55,2.558
0.62,2.558
0.57,2.558
0.6,2.558
0.64,2.558
0.67,2.558
0.71,2.558
0.39,2.558
0.56,2.558
0.38,2.558
0.75,2.558
0.31,2.558
0.03,2.558
0.06,2.558
0.08,2.558
0.11,2.558
0.12,2.558
0.13,2.558
0.0,2.558
0.2,2.558
0.16,2.558
0.3,2.558
0.27,2.558
0.33,2.558
0.22,2.558
0.21,2.558
0.25,2.558
0.44,2.559
0.75,2.559
0.69,2.559
0.66,2.559
0.61,2.559
0.6,2.559
0.56,2.559
0.52,2.559
0.5,2.559
0.48,2.559
0.47,2.559
0.46,2.559
0.63,2.559
0.41,2.559
0.38,2.559
0.4,2.559
0.0,2.559
0.07,2.559
0.14,2.559
0.15,2.559
0.2,2.559
0.1,2.559
0.25,2.559
0.3,2.559
0.33,2.559
0.36,2.559
0.37,2.559
0.21,2.559
0.52,2.56
0.42,2.56
0.43,2.56
0.44,2.56
0.47,2.56
0.48,2.56
0.5,2.56
0.53,2.56
0.71,2.56
0.62,2.56
0.67,2.56
0.8,2.56
0.69,2.56
0.7,2.56
0.75,2.56
0.4,2.56
0.56,2.56
0.38,2.56
0.12,2.56
0.35,2.56
0.36,2.56
0.06,2.56
0.1,2.56
0.11,2.56
0.15,2.56
0.17,2.56
0.19,2.56
0.2,2.56
0.03,2.56
0.22,2.56
0.24,2.56
0.26,2.56
0.28,2.56
0.29,2.56
0.3,2.56
0.33,2.56
0.21,2.56
0.39,2.561
0.4,2.561
0.42,2.561
0.44,2.561
0.45,2.561
0.46,2.561
0.5,2.561
0.63,2.561
0.54,2.561
0.6,2.561
0.67,2.561
0.7,2.561
0.75,2.561
0.86,2.561
0.53,2.561
0.38,2.561
0.35,2.561
0.33,2.561
0.36,2.561
0.06,2.561
0.07,2.561
0.08,2.561
0.12,2.561
0.18,2.561
0.1,2.561
0.22,2.561
0.23,2.561
0.25,2.561
0.28,2.561
0.29,2.561
0.3,2.561
0.2,2.561
0.57,2.562
0.42,2.562
0.44,2.562
0.45,2.562
0.48,2.562
0.5,2.562
0.62,2.562
0.8,2.562
0.67,2.562
0.68,2.562
0.7,2.562
0.71,2.562
0.75,2.562
0.4,2.562
0.65,2.562
0.39,2.562
0.54,2.562
0.34,2.562
0.0,2.562
0.09,2.562
0.1,2.562
0.12,2.562
0.17,2.562
0.18,2.562
0.2,2.562
0.07,2.562
0.36,2.562
0.22,2.562
0.23,2.562
0.25,2.562
0.27,2.562
0.29,2.562
0.33,2.562
0.21,2.562
0.5,2.563
0.53,2.563
0.55,2.563
0.56,2.563
0.57,2.563
0.6,2.563
0.69,2.563
0.66,2.563
0.67,2.563
0.7,2.563
0.71,2.563
0.45,2.563
0.62,2.563
0.42,2.563
0.4,2.563
0.16,2.563
0.0,2.563
0.11,2.563
0.14,2.563
0.2,2.563
0.21,2.563
0.38,2.563
0.24,2.563
0.28,2.563
0.29,2.563
0.3,2.563
0.33,2.563
0.34,2.563
0.36,2.563
0.27,2.563
0.53,2.564
0.52,2.564
0.51,2.564
0.43,2.564
0.47,2.564
0.44,2.564
0.57,2.564
0.5,2.564
0.6,2.564
0.76,2.564
0.67,2.564
0.68,2.564
0.7,2.564
0.73,2.564
0.74,2.564
0.75,2.564
0.8,2.564
0.62,2.564
0.42,2.564
0.08,2.564
0.39,2.564
0.0,2.564
0.4,2.564
0.05,2.564
0.11,2.564
0.12,2.564
0.13,2.564
0.17,2.564
0.19,2.564
0.04,2.564
0.25,2.564
0.28,2.564
0.3,2.564
0.32,2.564
0.33,2.564
0.34,2.564
0.36,2.564
0.38,2.564
0.2,2.564
0.4,2.565
0.41,2.565
0.44,2.565
0.47,2.565
0.5,2.565
0.56,2.565
0.57,2.565
0.7,2.565
0.64,2.565
0.68,2.565
0.75,2.565
0.78,2.565
0.8,2.565
0.39,2.565
0.6,2.565
0.38,2.565
0.0,2.565
0.33,2.565
0.02,2.565
0.06,2.565
0.08,2.565
0.1,2.565
0.12,2.565
0.13,2.565
0.17,2.565
0.36,2.565
0.2,2.565
0.22,2.565
0.24,2.565
0.25,2.565
0.27,2.565
0.28,2.565
0.19,2.565
0.41,2.566
0.44,2.566
0.45,2.566
0.47,2.566
0.5,2.566
0.53,2.566
0.55,2.566
0.63,2.566
0.57,2.566
0.6,2.566
0.67,2.566
0.71,2.566
0.75,2.566
0.4,2.566
0.83,2.566
0.56,2.566
0.8,2.566
0.39,2.566
0.37,2.566
0.38,2.566
0.0,2.566
0.05,2.566
0.06,2.566
0.11,2.566
0.15,2.566
0.17,2.566
0.2,2.566
0.12,2.566
0.25,2.566
0.26,2.566
0.29,2.566
0.3,2.566
0.31,2.566
0.33,2.566
0.34,2.566
0.22,2.566
0.56,2.567
0.42,2.567
0.43,2.567
0.44,2.567
0.48,2.567
0.5,2.567
0.53,2.567
0.57,2.567
0.4,2.567
0.62,2.567
0.65,2.567
0.67,2.567
0.68,2.567
0.7,2.567
0.71,2.567
0.75,2.567
0.58,2.567
0.38,2.567
0.31,2.567
0.33,2.567
0.0,2.567
0.07,2.567
0.08,2.567
0.1,2.567
0.11,2.567
0.12,2.567
0.17,2.567
0.19,2.567
0.06,2.567
0.24,2.567
0.25,2.567
0.26,2.567
0.28,2.567
0.29,2.567
0.3,2.567
0.37,2.567
0.2,2.567
0.36,2.568
0.4,2.568
0.43,2.568
0.44,2.568
0.45,2.568
0.49,2.568
0.5,2.568
0.67,2.568
0.54,2.568
0.61,2.568
0.7,2.568
0.71,2.568
0.75,2.568
0.35,2.568
0.53,2.568
0.34,2.568
0.33,2.568
0.31,2.568
0.0,2.568
0.04,2.568
0.06,2.568
0.08,2.568
0.12,2.568
0.13,2.568
0.1,2.568
0.21,2.568
0.22,2.568
0.23,2.568
0.25,2.568
0.27,2.568
0.3,2.568
0.2,2.568
0.45,2.569
0.38,2.569
0.39,2.569
0.4,2.569
0.43,2.569
0.44,2.569
0.5,2.569
0.66,2.569
0.55,2.569
0.56,2.569
0.57,2.569
0.58,2.569
0.6,2.569
0.62,2.569
0.36,2.569
0.53,2.569
0.35,2.569
0.75,2.569
0.3,2.569
0.33,2.569
0.05,2.569
0.06,2.569
0.08,2.569
0.09,2.569
0.11,2.569
0.12,2.569
0.0,2.569
0.14,2.569
0.16,2.569
0.2,2.569
0.22,2.569
0.25,2.569
0.28,2.569
0.29,2.569
0.13,2.569
0.5,2.57
0.53,2.57
0.55,2.57
0.56,2.57
0.57,2.57
0.6,2.57
0.69,2.57
0.62,2.57
